strains,x_mean,x_std,x_num,y_mean,y_std,y_num,d_mean,d_std,d_num,e
AMB-1,48.77225,22.4593224542759,108,42.5456481481481,17.631497730241,108,6.74466304347826,4.89147093829225,92,1.14635108695889
BR-C,87.3287894736842,19.6621710075717,19,90.9065789473684,19.0911414282931,19,3.46715789473684,1.85402844468045,19,0.960643228299729
Bavaricum,63.0943333333333,23.2019014387611,42,52.1495365853659,22.2113803320478,41,3.86702702702703,4.68953967467601,37,1.20987332706306
Biflagellate,77.9777674418605,7.92305663370012,43,65.2282325581395,6.62339155977909,43,7.26966666666666,3.42083660190173,42,1.19546037633868
Itapu 1,154.5749,22.8609009468131,10,124.672727272727,19.157924559257,11,3.347875,1.98221632360634,8,1.23984534052793
Itapu 3,98.7313103448276,15.1544501410912,29,54.4587142857143,10.0032872924896,28,6.56735714285714,3.40312706105,28,1.81295705636457
MC-1,64.6041836734694,20.2449726091375,49,56.7655490196079,15.8221397861525,51,3.58908695652174,3.92242187558252,46,1.13808788586109
MS-1,39.9395087719298,11.2683263542469,57,36.4403448275862,9.0090737992933,58,8.05471698113208,3.93114622831051,53,1.09602444655503
MSR-1,37.5432180451128,9.62293039720068,133,37.1972781954887,10.7702953965802,133,8.22823076923077,6.21440285385922,130,1.00930013878451
MV-1,67.8572033898305,29.7983707951248,118,43.6787394957983,21.9430423830603,119,10.0291727272727,10.1584473673316,110,1.55355223555291
MV-2,41.2024545454545,9.35730635774672,11,22.9028181818182,7.3684474052297,11,8.87477777777778,4.55166153118226,9,1.79901242800608
MV-4,60.9704137931034,11.7352816373692,29,50.4301034482758,10.6159612590289,29,4.28928,3.23245647714964,25,1.20900830305927
MYC-1,103.828923076923,28.5746428833373,13,88.5016153846154,26.3525130886931,13,2.51691666666667,1.48691085863113,12,1.17318675626086
NIc,94.4783333333333,23.5469817997719,12,73.4213333333333,17.8168470648803,12,2.14490909090909,1.09565235860153,11,1.28679675298732
QH-3,109.344307692308,29.4446497641043,13,75.4451538461538,23.8705964101101,13,4.66318181818182,4.10205150670203,11,1.44932182013016
RS-B,76.80759375,26.7222542895151,32,53.8618787878788,19.8758942137794,33,4.89272413793103,4.18324179568696,29,1.42601029667916
XM-1,44.7410487804878,9.56050491854698,41,42.7841463414634,10.5167391608829,41,10.404641025641,6.66029989638992,39,1.04573896189037
